Row.names,RNAINO_R1.x,RNAINO_R2.x,RNAINO_R3.x,RNAINO_R4.x,RNAINO_R5.x,RNAISO_R1.x,RNAINO_R1.y,RNAINO_R2.y,RNAINO_R3.y,RNAINO_R4.y,RNAINO_R5.y,RNAISO_R1.y,logFC,logCPM,PValue,FDR
transcript:CTRG_02900-t43_1,1116,1142,793,3603,3364,5544,108.7233222,116.4029847,95.29888097,204.626664,219.7830198,378.3578233,1.59,7.54,0.000211,0.0145
transcript:CTRG_02938-t43_1,284,394,413,863,1271,2445,27.66794222,40.16004901,49.63233019,49.01271468,83.03930385,166.8623517,1.99,6.13,1.42e-06,0.000401
transcript:CTRG_02954-t43_1,2497,2145,2004,9303,6709,14444,243.2635624,218.6378303,240.8309678,528.3491132,438.3246967,985.7504329,1.81,8.79,0.000374,0.0201
transcript:CTRG_02983-t43_1,1452,1500,1771,1865,1898,31657,141.4572257,152.8935876,212.8301617,105.9197137,124.0036182,2160.475038,3.99,9.04,7.53e-11,8.9e-08
transcript:CTRG_03078-t43_1,217,190,167,1713,1582,3907,21.14064599,19.36652109,20.06924732,97.28711501,103.3581264,266.638531,2.73,6.44,0.000231,0.015
transcript:CTRG_03088-t43_1,19,19,15,75,68,196,1.851024303,1.936652109,1.802627004,4.259505911,4.442700757,13.37628668,2.47,2.28,3.08e-06,0.000702
transcript:CTRG_03094-t43_1,124,90,79,284,205,559,12.08036914,9.173615256,9.493835556,16.12932905,13.39343611,38.14971559,1.85,4.09,3.48e-05,0.00384
transcript:CTRG_03159-t43_1,1424,1406,1033,7390,6598,11708,138.7294004,143.3122561,124.140913,419.7033158,431.0726411,799.0283902,1.98,8.39,0.00106,0.0384
transcript:CTRG_03162-t43_1,41,51,71,222,304,435,3.994315602,5.198381978,8.532434487,12.6081375,19.86148574,29.68716687,1.88,3.71,0.00154,0.0493
transcript:CTRG_03325-t43_1,324,250,237,1447,1387,2192,31.56483549,25.4822646,28.48150667,82.18006738,90.61802868,149.5960225,1.84,6.05,0.000726,0.0303
transcript:CTRG_03342-t43_1,6,11,11,15,20,99,0.584533991,1.121219642,1.32192647,0.851901182,1.306676693,6.756389702,2.91,1.17,2.12e-06,0.000544
transcript:CTRG_03352-t43_1,13,10,12,19,30,139,1.266490313,1.019290584,1.442101604,1.079074831,1.96001504,9.486244127,3.02,1.59,5.44e-08,2.47e-05
transcript:CTRG_03353-t43_1,3,0,0,6,4,34,0.292266995,0.0,0.0,0.340760473,0.261335339,2.320376261,3.79,-0.439,0.000143,0.0112
transcript:CTRG_03354-t43_1,338,317,542,678,1337,1993,32.92874813,32.31151151,65.13492243,38.50593343,87.35133694,136.0149967,1.65,6.03,0.00103,0.0378
transcript:CTRG_03417-t43_1,894,781,531,2252,1580,3176,87.09556459,79.60659461,63.81299596,127.8987642,103.2274588,216.7504413,1.43,6.84,0.000809,0.0323
transcript:CTRG_03465-t43_1,20,16,12,68,86,151,1.948446635,1.630864934,1.442101604,3.861952026,5.618709781,10.30520045,2.11,2.09,0.000526,0.0253
transcript:CTRG_03469-t43_1,879,793,858,3422,3015,4387,85.63422961,80.82974331,103.1102647,194.3470564,196.9815115,299.3967841,1.45,7.3,0.001,0.0377
transcript:CTRG_03473-t43_1,882,840,663,4938,4727,9097,85.9264966,85.62040905,79.67611359,280.4458692,308.8330364,620.8371426,2.22,7.9,0.000361,0.0198
transcript:CTRG_03488-t43_1,251,245,182,1383,1194,2243,24.45300527,24.97261931,21.87187432,78.545289,78.00859859,153.0765869,2.07,5.96,0.000357,0.0198
transcript:CTRG_03492-t43_1,2,0,1,13,10,44,0.194844664,0.0,0.120175134,0.738314358,0.653338347,3.002839868,3.35,-0.0281,0.00043,0.0223
transcript:CTRG_03495-t43_1,736,605,524,1759,1610,2991,71.70283617,61.66708033,62.97177002,99.89961196,105.1874738,204.1248646,1.56,6.67,2.64e-05,0.00326
transcript:CTRG_03599-t43_1,714,611,583,1644,1813,3073,69.55954487,62.27865468,70.0621029,93.36836957,118.4502422,209.7210662,1.56,6.71,1.31e-05,0.00201
transcript:CTRG_03730-t43_1,1,5,16,38,25,157,0.097422332,0.509645292,1.922802138,2.158149662,1.633345867,10.71467862,3.36,1.64,0.000279,0.0172
transcript:CTRG_03745-t43_1,1523,1513,1325,3753,3037,7187,148.3742113,154.2186654,159.2320521,213.1456758,198.4188559,490.4865938,1.68,7.86,4.5e-05,0.00467
transcript:CTRG_03796-t43_1,1,2,0,8,5,55,0.097422332,0.203858117,0.0,0.454347297,0.326669173,3.753549834,4.21,0.0486,4.02e-07,0.000132
transcript:CTRG_03893-t43_1,219,184,297,1331,1547,3825,21.33549065,18.75494674,35.69201469,75.59203157,101.0714422,261.0423294,2.72,6.41,1.04e-05,0.00181
transcript:CTRG_04025-t43_1,4,2,5,9,11,32,0.389689327,0.203858117,0.600875668,0.511140709,0.718672181,2.18388354,2.38,-0.0815,0.000693,0.0295
transcript:CTRG_04041-t43_1,854,744,744,2422,2124,3100,83.19867132,75.83521945,89.41029942,137.5536442,138.7690648,211.5637179,1.24,6.94,0.00106,0.0384
transcript:CTRG_04046-t43_1,8,6,11,31,35,66,0.779378654,0.61157435,1.32192647,1.760595777,2.286684213,4.504259801,1.98,1.02,0.0013,0.0438
transcript:CTRG_04132-t43_1,240,231,151,1158,824,1625,23.38135962,23.54561249,18.14644518,65.76677126,53.83507976,110.900336,1.87,5.61,0.0005,0.0242
transcript:CTRG_04152-t43_1,795,755,653,2521,2410,3332,77.45075374,76.95643909,78.47436226,143.176192,157.4545415,227.3968736,1.34,6.97,0.0007,0.0295
transcript:CTRG_04160-t43_1,534,464,440,2122,1810,3969,52.02352515,47.2950831,52.8770588,120.5156206,118.2542407,270.8698053,2.07,6.78,2.84e-06,0.000673
transcript:CTRG_04177-t43_1,2,3,1,0,3,21,0.194844664,0.305787175,0.120175134,0.0,0.196001504,1.433173573,3.33,-0.848,0.00102,0.0378
transcript:CTRG_04262-t43_1,169,141,124,465,382,610,16.46437407,14.37199723,14.90171657,26.40893665,24.95752484,41.63027998,1.32,4.54,0.00114,0.0398
transcript:CTRG_04264-t43_1,25,17,18,65,67,118,2.435558294,1.732793993,2.163152405,3.691571789,4.377366922,8.053070554,1.71,1.97,0.00107,0.0384
transcript:CTRG_04276-t43_1,788,683,580,3099,3129,6706,76.76879742,69.61754688,69.7015775,176.0027842,204.4295687,457.6600944,2.23,7.45,5.66e-06,0.00105
transcript:CTRG_04294-t43_1,11,16,18,64,87,143,1.071645649,1.630864934,2.163152405,3.634778377,5.684043616,9.75922957,2.08,2.03,0.000989,0.0375
transcript:CTRG_04311-t43_1,1264,1173,1171,4930,4103,7108,123.1418273,119.5627855,140.7250815,279.9915219,268.0647236,485.0951313,1.64,7.87,0.000313,0.018
transcript:CTRG_04317-t43_1,513,554,841,1679,1889,3652,49.97765619,56.46869835,101.0672874,95.35613899,123.4156137,249.235709,1.79,6.82,2.45e-05,0.00316
transcript:CTRG_04345-t43_1,1397,1242,1063,4413,3831,7306,136.0989975,126.5958905,127.746167,250.6293278,250.2939206,498.6079107,1.73,7.86,5.79e-05,0.00543
transcript:CTRG_04378-t43_1,1236,1338,1194,3948,4199,6203,120.414002,136.3810801,143.4891095,224.2203912,274.3367717,423.332175,1.48,7.77,0.000297,0.0174
transcript:CTRG_04385-t43_1,0,0,0,1,3,15,0.0,0.0,0.0,0.056793412,0.196001504,1.023695409,4.2,-1.38,8.98e-05,0.00792
transcript:CTRG_04412-t43_1,384,408,752,1535,2494,5419,37.41017539,41.58705583,90.37170049,87.17788764,162.9425836,369.8270282,2.44,7.04,5.44e-06,0.00105
transcript:CTRG_04441-t43_1,755,836,591,3152,2686,5716,73.55386047,85.21269282,71.02350397,179.0128351,175.4866799,390.0961973,2.01,7.34,1.19e-05,0.00194
transcript:CTRG_04535-t43_1,226,229,182,1142,1074,1626,22.01744698,23.34175437,21.87187432,64.85807667,70.16853843,110.9685824,1.77,5.67,0.00103,0.0378
transcript:CTRG_04552-t43_1,667,777,889,2216,3541,13464,64.98069528,79.19887837,106.8356938,125.8542013,231.3471085,918.8689995,3.2,8.04,1.12e-11,1.66e-08
transcript:CTRG_04679-t43_1,445,403,306,2098,2017,7020,43.35293763,41.07741053,36.77359089,119.1525787,131.7783445,479.0894516,3.0,7.17,2.77e-08,1.37e-05
transcript:CTRG_04683-t43_1,127,140,119,531,422,689,12.37263613,14.27006818,14.3008409,30.15730185,27.57087823,47.02174247,1.51,4.59,0.000572,0.0262
transcript:CTRG_04713-t43_1,630,616,591,3306,2669,5967,61.376069,62.78829997,71.02350397,187.7590206,174.3760047,407.2260339,2.17,7.32,2.6e-05,0.00326
transcript:CTRG_04724-t43_1,4287,4722,6166,13572,16576,30336,417.6495362,481.3090137,740.9998739,770.8001896,1082.973643,2070.321596,1.81,9.86,0.000608,0.027
transcript:CTRG_04726-t43_1,5,12,10,56,75,248,0.487111659,1.223148701,1.201751336,3.18043108,4.9000376,16.92509744,3.28,2.29,1.34e-05,0.00201
transcript:CTRG_04727-t43_1,62,60,74,513,523,2738,6.040184569,6.115743504,8.892959888,29.13502043,34.16959553,186.8585354,3.84,5.55,2.39e-08,1.28e-05
transcript:CTRG_04728-t43_1,4202,3677,3954,22703,15500,82426,409.368638,374.7931477,475.1724784,1289.380836,1012.674437,5625.274521,3.27,10.6,9.46e-08,3.29e-05
transcript:CTRG_04761-t43_1,164,204,216,216,323,1753,15.97726241,20.79352791,25.95782886,12.26737702,21.1028286,119.6358702,2.78,5.26,7.63e-08,3.01e-05
transcript:CTRG_04763-t43_1,156,165,155,1103,1162,2355,15.19788375,16.81829464,18.62714571,62.6431336,75.91791588,160.7201793,2.45,5.84,0.0002,0.0141
transcript:CTRG_04805-t43_1,21,28,28,20,25,178,2.045868967,2.854013635,3.364903742,1.135868243,1.633345867,12.14785219,2.57,2.11,0.000786,0.0318
transcript:CTRG_04808-t43_1,5,1,4,6,14,45,0.487111659,0.101929058,0.480700535,0.340760473,0.914673685,3.071086228,2.94,0.13,0.000145,0.0112
transcript:CTRG_04826-t43_1,0,1,0,7,6,33,0.0,0.101929058,0.0,0.397553885,0.392003008,2.252129901,3.78,-0.48,0.000145,0.0112
transcript:CTRG_04832-t43_1,7,6,9,41,40,89,0.681956322,0.61157435,1.081576203,2.328529898,2.613353386,6.073926096,2.32,1.26,0.000409,0.0214
