Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_00969-t43_1	682	668	542	1517	1525	2113	66.44203025	68.08861101	65.13492243	86.15560623	99.63409786	144.20456	1.10E+00	6.48E+00	2.99E-03	7.37E-02
transcript:CTRG_00970-t43_1	188	206	203	692	705	207	18.31539837	20.99738603	24.39555213	39.3010412	46.06035344	14.12699665	-8.19E-01	4.69E+00	1.12E-01	4.19E-01
transcript:CTRG_00971-t43_1	1547	1441	1304	3298	2755	1913	150.7123472	146.8797731	156.7083742	187.3046733	179.9947145	130.5552879	-1.55E-01	7.31E+00	7.92E-01	9.31E-01
transcript:CTRG_00972-t43_1	378	326	322	1160	1075	610	36.8256414	33.22887304	38.69639303	65.88035809	70.23387226	41.63027998	8.26E-03	5.53E+00	9.32E-01	9.88E-01
transcript:CTRG_00973-t43_1	251	255	200	1280	1073	746	24.45300527	25.99190989	24.03502673	72.69556755	70.10320459	50.91178503	5.27E-01	5.40E+00	3.17E-01	6.49E-01
transcript:CTRG_00974-t43_1	173	133	159	1171	1143	1302	16.85406339	13.55656477	19.10784625	66.50508562	74.67657302	88.85676154	1.58E+00	5.46E+00	2.36E-02	2.12E-01
transcript:CTRG_00975-t43_1	60	50	59	113	143	56	5.845339905	5.09645292	7.090332884	6.417655572	9.342738357	3.821796195	-6.14E-01	2.65E+00	3.49E-01	6.71E-01
transcript:CTRG_00976-t43_1	3	1	1	33	25	35	0.292266995	0.101929058	0.120175134	1.874182601	1.633345867	2.388622622	1.91E+00	2.63E-01	8.06E-02	3.62E-01
transcript:CTRG_00977-t43_1	111	133	146	665	939	553	10.81387882	13.55656477	17.54556951	37.76761908	61.34847075	37.74023743	7.74E-01	4.78E+00	2.22E-01	5.63E-01
transcript:CTRG_00978-t43_1	75	82	62	324	244	291	7.306674881	8.358182788	7.450858285	18.40106554	15.94145566	19.85969094	1.04E+00	3.67E+00	4.13E-02	2.73E-01
